Name,Address,Rating,Business Status,Place ID,Website
OnTrac Drop Box,"3070 Skyway Drive, Santa Maria",1.1,OPERATIONAL,ChIJQWxvrLMU7IARMDcQMxz4U4I,https://www.ontrac.com/
Orcutt,Orcutt,,,ChIJTSj1qZgT7IARAy29EsomYWU,N/A
Ferguson Plumbing Supply,"1209 Betteravia Road, Santa Maria",4.5,OPERATIONAL,ChIJHVnlOUFr7IARsYFokj2VyAs,https://www.ferguson.com/store/ca/santa+maria/plumbingpvf-0612?utm_source=google&utm_medium=organic&utm_campaign=rt_lis_listingtraffic&utm_content=listing
Jack in the Box,"2306 South Broadway, Santa Maria",3.6,OPERATIONAL,ChIJg1piKqhs7IARmNM-moTODXY,https://locations.jackinthebox.com/us/ca/santa-maria/2306-s-broadway?utm_source=google&utm_medium=local&utm_campaign=google-local
American Self Storage,"3040 Skyway Drive, Santa Maria",4.2,OPERATIONAL,ChIJC2fi7rIU7IARY4V1TUfjF00,http://stormystuff.com/storage-locations/santa-maria-storage-facility
Pacific Smile Design,"2506 Professional Parkway, Santa Maria",5.0,OPERATIONAL,ChIJU8nE0FVr7IARQi34rwKNd1w,N/A
Westgate Courtyards,"1240 Bethel Lane, Santa Maria",4.2,OPERATIONAL,ChIJfXX0bmpr7IARbtWYHjmaquA,http://www.westgatecourtyards.com/
"Dr. Dennis C. Blackburn, DO","2342 Professional Parkway, Santa Maria",4.1,OPERATIONAL,ChIJJ9jJsVdr7IARXD2uCBf3oss,http://www.centralcoastortho.com/
Coca-Cola Bottling Co,"1000 Fairway Drive, Santa Maria",3.7,OPERATIONAL,ChIJD7-fkE5r7IARIatKwpYs2_o,http://jobs.reyesccb.com/
Toyota Forklifts,"1258 Betteravia Road, Santa Maria",,OPERATIONAL,ChIJDey81UZr7IARgNr_6APZnOo,N/A
Quintron Systems Inc,"1290 West McCoy Lane, Santa Maria",4.5,OPERATIONAL,ChIJJdnJbkFr7IARdzoxhnLPke8,https://www.quintron.com/
Fischer Restoration Studio,"2350 Skyway Drive, Santa Maria",5.0,OPERATIONAL,ChIJzRCEb0Zr7IAR-2TUupolTgs,N/A
Verizon,"1223 Fairway Vista Drive, Santa Maria",,OPERATIONAL,ChIJn3Ag9khr7IARtoZvvv_4SH0,https://www.verizonwireless.com/stores/california/santa-maria/santa-maria-338455/
Signs of Success,"2350 Skyway Drive STE 10, Santa Maria",4.9,OPERATIONAL,ChIJzRCEb0Zr7IARAOE_ugWC39c,http://www.signsofsuccess.net/
Airgas Store,"841 West McCoy Lane, Santa Maria",4.4,OPERATIONAL,ChIJT11fDlBr7IARlcl5HfGrimo,https://locations.airgas.com/ca/santamaria/airgas-store-w031.html?utm_arg=3rd_party_local:Google::Industrial:W031
J & D Fabrication & Repair Inc,"2360 Westgate Road, Santa Maria",5.0,OPERATIONAL,ChIJR1RN7Thr7IARCQztJpuJi_8,http://jdfabandweld.com/
"Bottelsen American Dart Lines, Inc.","945 West McCoy Lane, Santa Maria",5.0,OPERATIONAL,ChIJmd7Xe0Vr7IARWRlWtYeJyy0,https://www.bottelsendarts.com/index.shtml
Kirby Company of Santa Maria,"1010 Betteravia Road Ste. B, Santa Maria",4.7,OPERATIONAL,ChIJL8LkXURr7IARJZSbX5Rf3Cs,N/A
Powerstride Battery,"2330 Westgate Road # 1, Santa Maria",4.6,OPERATIONAL,ChIJ7yfjyDhr7IARlczzVqfH1IU,http://powerstridebattery.com/
Children's Resource & Referral of Santa Barbara County,"2861 Airpark Drive Second Floor, Santa Maria",4.7,OPERATIONAL,ChIJ98tyh4ds7IAR2fhICR7-lkc,https://www.crrsbc.org/
McCoy Lane Storage,"1270 West McCoy Lane, Santa Maria",4.3,OPERATIONAL,ChIJIbKgxkdr7IARpmKndM7mnDE,http://www.mccoylanestorage.com/
Fastenal Fulfillment Center - Appointment Only,"2220 A Street #102, Santa Maria",3.3,OPERATIONAL,ChIJuztxiT5r7IAR66lzpq_3iNo,https://www.fastenal.com/
Westcoast Industrial Supply,"2255 South Oakley Avenue Unit B, Santa Maria",4.8,OPERATIONAL,ChIJP8BPXq0U7IARK4TCKDvrAhc,http://www.westcoastindustrialsupply.com/
UCP/ Work Inc.,"3070 Skyway Drive, Santa Maria",3.9,OPERATIONAL,ChIJQWxvrLMU7IAR7dslINYyQiw,http://ucpworkinc.org/
Tetra Tech,"3201 Airpark Drive STE 108, Santa Maria",,OPERATIONAL,ChIJx3V07LEU7IAREMfp7sAauL4,http://www.tetratech.com/
"GeoSolutions, Inc.","1021 Tama Lane, Santa Maria",,OPERATIONAL,ChIJVdsJUERr7IARpFqhO2HrQ0g,http://www.geosolutions.net/
Ksby TV,"2370 Skyway Drive #102, Santa Maria",,OPERATIONAL,ChIJu0tFbUZr7IAR-zH0lL10lTs,N/A
Cal-State Auto Parts Inc,"1459 Fairway Drive, Santa Maria",3.9,OPERATIONAL,ChIJnwBv6Dlr7IARE1LRQZXNxwM,http://calstateautoparts.com/
Melfred Borzall,"2712 Airpark Drive, Santa Maria",5.0,OPERATIONAL,ChIJCwsznklr7IARrxnnM1cjfEc,https://www.melfredborzall.com/
Matti's Parts Imports Inc,"2410 A Street, Santa Maria",5.0,OPERATIONAL,ChIJFQD2XTlr7IARpUAJIKII1pc,N/A
"Dr. Jeffrey E. Spoo, MD","2342 Professional Parkway # 200, Santa Maria",3.2,OPERATIONAL,ChIJJ9jJsVdr7IAReP6lnitwaBg,https://centralcoastortho.com/physicians/jeffrey-spoo/
Fountain Mountain Inc.,"2351 Thompson Way # C2, Santa Maria",5.0,OPERATIONAL,ChIJcUASUUdr7IARKkLfem3WQ5o,https://www.fountainmountain.com/
Buena Resources Inc,"2336 Skyway Drive STE 3, Santa Maria",,OPERATIONAL,ChIJV4CxfUZr7IARHQjxo_xl1IQ,https://www.buena-res.com/
American Cleaners,"2230 South Depot Street d, Santa Maria",4.3,OPERATIONAL,ChIJM3DNdVpr7IARpCmN49diIn0,http://www.americanlinenrental.com/
Heritage Construction Concrete and Masonry Inc.,"2889 Industrial Parkway, Santa Maria",,OPERATIONAL,ChIJ694enThr7IARCgChUAujrVQ,http://heritageccm.com/
Steve Soares Trucking,"1337 Betteravia Road STE A, Santa Maria",4.0,OPERATIONAL,ChIJX3sDgj9r7IARc5l4L8Xj3Ns,N/A
Ricks Cabinets,"1310 Betteravia Road, Santa Maria",5.0,OPERATIONAL,ChIJAd8aUZdr7IARku5asl2q0oc,http://rickscabinets805.com/
Andersen Van & Storage,"2255 A South Oakley Avenue, Santa Maria",3.7,OPERATIONAL,ChIJjWJnSkVr7IARhmFz5co6kqk,https://andersenvanandstorage.com/
SMITH - MECHANICAL * ELECTRICAL * PLUMBING,"1340 Betteravia Road, Santa Maria",3.9,OPERATIONAL,ChIJP4CPYD9r7IARmAhnpcNji4Y,https://smithmep.com/
Central Coast Orthopedics,"2342 Professional Parkway STE 200, Santa Maria",4.7,OPERATIONAL,ChIJJ9jJsVdr7IARHYxWo7AjLt0,http://centralcoastortho.com/
Hendrix Machine & Tool,"2658 Industrial Parkway, Santa Maria",,OPERATIONAL,ChIJ_0UAbVJr7IAR_2tsmJeVaII,N/A
Water Fixers Plumbing & Filtration,"2893 Industrial Parkway, Santa Maria",4.9,OPERATIONAL,ChIJ9RCATQls7IARbs_laNmR3cc,http://waterfixers.com/
Santa Maria,Santa Maria,,,ChIJCcZUDKoP7IARjjRaimVS_Qs,http://www.ci.santa-maria.ca.us/
Solaire Inn & Suites,"1995 South Broadway, Santa Maria",3.4,OPERATIONAL,ChIJ0ytGllhr7IARWFbPxuxk9hc,http://www.solaireinnandsuites.com/
Best Buy,"2326 South Bradley Road Fl 222, Santa Maria",4.1,OPERATIONAL,ChIJB_1TkUIT7IARecSv2sMLi2k,https://stores.bestbuy.com/ca/santa-maria/2326-s-bradley-rd-192.html/?ref=NS&loc=ns100
Walmart,"2220 South Bradley Road, Santa Maria",3.9,OPERATIONAL,ChIJ1b5f-7Ns7IARkIZitkd-1r4,https://www.walmart.com/store/2507-santa-maria-ca
AT&T Store,"2356 South Bradley Road Ste E, Santa Maria",4.8,OPERATIONAL,ChIJeVhRkUIT7IARH0FvZZLpgng,https://www.att.com/stores/california/santa-maria/2052?source=E-g2s10000000000X&wtExtndSource=stores
Target,"223 Betteravia Road, Santa Maria",4.2,OPERATIONAL,ChIJESutuads7IARVigtEHvVr0o,https://www.target.com/sl/santa-maria/309
Town & Country Inn,"2250 South Broadway, Santa Maria",3.5,OPERATIONAL,ChIJOXBmJKhs7IARaLr-51-Rqxk,https://www.townandcountryinnsm.com/
CVS Pharmacy,"223 Betteravia Road, Santa Maria",4.1,OPERATIONAL,ChIJESutuads7IARKZJRrglGF2k,https://www.cvs.com/store-locator/santa-maria-ca-pharmacies/223-e-betteravia-rd-santa-maria-ca-93454/storeid=16105?WT.mc_id=LS_GOOGLE_RX_16105
